namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Bali,Provinsi Bali,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,197369947623.03
Provinsi Bali,Provinsi Bali,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,632576573750
Provinsi Bali,Provinsi Bali,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,587779037444.64
Provinsi Bali,Provinsi Bali,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,2274042730000
Provinsi Bali,Provinsi Bali,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1515893565416
Provinsi Bali,Provinsi Bali,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,5708000000
Provinsi Bali,Provinsi Bali,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,478687000
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,2212204560369
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,1780002489318
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,1260916551398
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,749528872001.73
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,753187821368
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,343566549716.33
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,2525000000
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,2500000000
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,989745066936
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,898860050664
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,250000000
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,250000000
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,62772177068
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,5977934041
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,1279176638488
Provinsi Bali,Provinsi Bali,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,1587715903458
