namapemda,provinsi,tahun,level2,jenis,nilai
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Alokasi Umum,Anggaran,1337180068000
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Alokasi Umum,Realisasi,1336735156898
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Bagi Hasil,Anggaran,87303416000
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Bagi Hasil,Realisasi,87280254050
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Insentif Daerah,Anggaran,12089917000
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Insentif Daerah,Realisasi,6044958500
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Keistimewaan Daerah Istimewa Yogyakarta,Anggaran,1420000000000
Provinsi DI Yogyakarta,Provinsi DI Yogyakarta,2024,Dana Keistimewaan Daerah Istimewa Yogyakarta,Realisasi,1420000000000
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Alokasi Khusus Nonfisik,Anggaran,3274245548000
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Alokasi Khusus Nonfisik,Realisasi,2939033815425
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Alokasi Umum,Anggaran,368377412000
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Alokasi Umum,Realisasi,341925145201
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Bagi Hasil,Anggaran,15651026726000
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Bagi Hasil,Realisasi,15643952384100
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Insentif Daerah,Anggaran,644090217000
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Dana Insentif Daerah,Realisasi,38224210000
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Transfer Hibah,Anggaran,1957033255000
Provinsi DKI Jakarta,Provinsi DKI Jakarta,2024,Transfer Hibah,Realisasi,262353340107
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Alokasi Khusus Fisik,Anggaran,167802393000
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Alokasi Khusus Fisik,Realisasi,117256253139
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Alokasi Khusus Nonfisik,Anggaran,187091361000
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Alokasi Khusus Nonfisik,Realisasi,167813089402
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Alokasi Umum,Anggaran,1006766241000
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Alokasi Umum,Realisasi,1006703247033
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Bagi Hasil,Anggaran,18660575000
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Bagi Hasil,Realisasi,18595622450
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Insentif Daerah,Anggaran,7682882000
Provinsi Gorontalo,Provinsi Gorontalo,2024,Dana Insentif Daerah,Realisasi,7682882000
Provinsi Gorontalo,Provinsi Gorontalo,2024,Transfer Hibah,Anggaran,1103138000
Provinsi Gorontalo,Provinsi Gorontalo,2024,Transfer Hibah,Realisasi,915839452
Provinsi Jambi,Provinsi Jambi,2024,Dana Alokasi Khusus Fisik,Anggaran,235795381000
Provinsi Jambi,Provinsi Jambi,2024,Dana Alokasi Khusus Fisik,Realisasi,191020466781
Provinsi Jambi,Provinsi Jambi,2024,Dana Alokasi Khusus Nonfisik,Anggaran,431587500000
Provinsi Jambi,Provinsi Jambi,2024,Dana Alokasi Khusus Nonfisik,Realisasi,391260420459
Provinsi Jambi,Provinsi Jambi,2024,Dana Alokasi Umum,Anggaran,1381586769000
Provinsi Jambi,Provinsi Jambi,2024,Dana Alokasi Umum,Realisasi,1405164682750
Provinsi Jambi,Provinsi Jambi,2024,Dana Bagi Hasil,Anggaran,380334457000
Provinsi Jambi,Provinsi Jambi,2024,Dana Bagi Hasil,Realisasi,299347310925
Provinsi Jambi,Provinsi Jambi,2024,Dana Insentif Daerah,Anggaran,5622186000
Provinsi Jambi,Provinsi Jambi,2024,Dana Insentif Daerah,Realisasi,2811093000
Provinsi Jambi,Provinsi Jambi,2024,Transfer Hibah,Anggaran,23406257000
Provinsi Jambi,Provinsi Jambi,2024,Transfer Hibah,Realisasi,11826358899
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Alokasi Khusus Fisik,Anggaran,500743038000
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Alokasi Khusus Fisik,Realisasi,364738747697
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Alokasi Khusus Nonfisik,Anggaran,4629260874000
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Alokasi Khusus Nonfisik,Realisasi,4361195945336
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Alokasi Umum,Anggaran,3675121100000
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Alokasi Umum,Realisasi,3705696910665
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Bagi Hasil,Anggaran,1868312058000
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Bagi Hasil,Realisasi,1864641200500
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Insentif Daerah,Anggaran,36848779000
Provinsi Jawa Barat,Provinsi Jawa Barat,2024,Dana Insentif Daerah,Realisasi,29946932500
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Alokasi Khusus Fisik,Anggaran,484598612000
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Alokasi Khusus Fisik,Realisasi,350680096863
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Alokasi Khusus Nonfisik,Anggaran,3497080840000
Provinsi Jawa Tengah,Provinsi Jawa Tengah,2024,Dana Alokasi Khusus Nonfisik,Realisasi,3222360992835
