namapemda,provinsi,tahun,level2,jenis,nilai
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Otonomi Khusus,Anggaran,843890822000
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Otonomi Khusus,Realisasi,253167246600
Provinsi Riau,Provinsi Riau,2024,Dana Alokasi Khusus Fisik,Anggaran,255616230000
Provinsi Riau,Provinsi Riau,2024,Dana Alokasi Khusus Fisik,Realisasi,181859705102
Provinsi Riau,Provinsi Riau,2024,Dana Alokasi Khusus Nonfisik,Anggaran,843835316000
Provinsi Riau,Provinsi Riau,2024,Dana Alokasi Khusus Nonfisik,Realisasi,766802601519
Provinsi Riau,Provinsi Riau,2024,Dana Alokasi Umum,Anggaran,1618636866000
Provinsi Riau,Provinsi Riau,2024,Dana Alokasi Umum,Realisasi,1574061103483
Provinsi Riau,Provinsi Riau,2024,Dana Bagi Hasil,Anggaran,1181074849000
Provinsi Riau,Provinsi Riau,2024,Dana Bagi Hasil,Realisasi,1181074166890
Provinsi Riau,Provinsi Riau,2024,Dana Insentif Daerah,Anggaran,5862295000
Provinsi Riau,Provinsi Riau,2024,Dana Insentif Daerah,Realisasi,2931147500
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Alokasi Khusus Fisik,Anggaran,99799974000
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Alokasi Khusus Fisik,Realisasi,85971597645
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Alokasi Khusus Nonfisik,Anggaran,200170899000
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Alokasi Khusus Nonfisik,Realisasi,181509711400
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Alokasi Umum,Anggaran,1055956145000
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Alokasi Umum,Realisasi,1045792935764
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Bagi Hasil,Anggaran,20240010000
Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,2024,Dana Bagi Hasil,Realisasi,20185560850
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Alokasi Khusus Fisik,Anggaran,335138944000
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Alokasi Khusus Fisik,Realisasi,199386583166
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Alokasi Khusus Nonfisik,Anggaran,1228356606000
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Alokasi Khusus Nonfisik,Realisasi,1103691492041
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Alokasi Umum,Anggaran,2712463777000
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Alokasi Umum,Realisasi,2704685049136
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Bagi Hasil,Anggaran,269084641000
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Bagi Hasil,Realisasi,136780020270
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Insentif Daerah,Anggaran,18973164000
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Dana Insentif Daerah,Realisasi,15880306000
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Transfer Hibah,Anggaran,1858037000
Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,2024,Transfer Hibah,Realisasi,1826947158
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Alokasi Khusus Fisik,Anggaran,333475956000
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Alokasi Khusus Fisik,Realisasi,248146982089
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Alokasi Khusus Nonfisik,Anggaran,415768435000
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Alokasi Khusus Nonfisik,Realisasi,375052452604
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Alokasi Umum,Anggaran,1638594346000
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Alokasi Umum,Realisasi,1577931327566
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Bagi Hasil,Anggaran,541838196000
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Dana Bagi Hasil,Realisasi,541833689070
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Transfer Hibah,Anggaran,883312000
Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,2024,Transfer Hibah,Realisasi,878007595
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Alokasi Khusus Fisik,Anggaran,279582916000
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Alokasi Khusus Fisik,Realisasi,197644979320
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Alokasi Khusus Nonfisik,Anggaran,533128925000
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Alokasi Khusus Nonfisik,Realisasi,473099453377
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Alokasi Umum,Anggaran,1676369088000
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Alokasi Umum,Realisasi,1623234956600
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Bagi Hasil,Anggaran,546258080000
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Bagi Hasil,Realisasi,489996907130
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Insentif Daerah,Anggaran,5357771000
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Dana Insentif Daerah,Realisasi,2678885500
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Transfer Hibah,Anggaran,922180000
Provinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,2024,Transfer Hibah,Realisasi,787674088
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Alokasi Khusus Fisik,Anggaran,309431592000
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Alokasi Khusus Fisik,Realisasi,214974131647
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Alokasi Khusus Nonfisik,Anggaran,407168197000
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Alokasi Khusus Nonfisik,Realisasi,368936410373
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Alokasi Umum,Anggaran,1430601814000
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Alokasi Umum,Realisasi,1374891018295
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Bagi Hasil,Anggaran,119866309000
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Bagi Hasil,Realisasi,119866309000
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Insentif Daerah,Anggaran,13900219000
Provinsi Sulawesi Utara,Provinsi Sulawesi Utara,2024,Dana Insentif Daerah,Realisasi,10640199000
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Alokasi Khusus Fisik,Anggaran,253614707000
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Alokasi Khusus Fisik,Realisasi,193933368392
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Alokasi Khusus Nonfisik,Anggaran,941079485000
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Alokasi Khusus Nonfisik,Realisasi,838523527911
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Alokasi Umum,Anggaran,2062837785000
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Alokasi Umum,Realisasi,2056763250931
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Bagi Hasil,Anggaran,157689285000
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Bagi Hasil,Realisasi,157689285000
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Insentif Daerah,Anggaran,13249284000
Provinsi Sumatera Barat,Provinsi Sumatera Barat,2024,Dana Insentif Daerah,Realisasi,10465695000
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Alokasi Khusus Fisik,Anggaran,242024199000
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Alokasi Khusus Fisik,Realisasi,167842327937
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Alokasi Khusus Nonfisik,Anggaran,965143710000
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Alokasi Khusus Nonfisik,Realisasi,884648416051
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Alokasi Umum,Anggaran,1750244931000
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Alokasi Umum,Realisasi,1738865389110
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Bagi Hasil,Anggaran,1895354719000
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Bagi Hasil,Realisasi,1509153154255
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Insentif Daerah,Anggaran,6625541000
Provinsi Sumatera Selatan,Provinsi Sumatera Selatan,2024,Dana Insentif Daerah,Realisasi,3312770500
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Alokasi Khusus Fisik,Anggaran,408289492000
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Alokasi Khusus Fisik,Realisasi,270903764597
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Alokasi Khusus Nonfisik,Anggaran,1834284696000
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Alokasi Khusus Nonfisik,Realisasi,1691852853484
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Alokasi Umum,Anggaran,2904966554000
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Alokasi Umum,Realisasi,2867248490833
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Bagi Hasil,Anggaran,489468539000
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Bagi Hasil,Realisasi,255081021220
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Insentif Daerah,Anggaran,5811273000
Provinsi Sumatera Utara,Provinsi Sumatera Utara,2024,Dana Insentif Daerah,Realisasi,2905636500
