namapemda,provinsi,tahun,name,jenis,nilai
Provinsi Bali,Provinsi Bali,2024,42. TKDD,Realisasi,1515893565416.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Anggaran,5708000000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Realisasi,478687000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Anggaran,5708000000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Realisasi,478687000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Anggaran,5708000000.0
Provinsi Bali,Provinsi Bali,2024,43. Pendapatan Lainnya,Realisasi,478687000.0
Provinsi Bali,Provinsi Bali,2024,51. Belanja Pegawai,Anggaran,2212204560369.0
Provinsi Bali,Provinsi Bali,2024,51. Belanja Pegawai,Realisasi,1780002489318.0
Provinsi Bali,Provinsi Bali,2024,51. Belanja Pegawai,Anggaran,2212204560369.0
Provinsi Bali,Provinsi Bali,2024,51. Belanja Pegawai,Realisasi,1780002489318.0
Provinsi Bali,Provinsi Bali,2024,51. Belanja Pegawai,Anggaran,2212204560369.0
Provinsi Bali,Provinsi Bali,2024,51. Belanja Pegawai,Realisasi,1780002489318.0
Provinsi Bali,Provinsi Bali,2024,52. Belanja Barang dan Jasa,Anggaran,1260916551398.0
Provinsi Bali,Provinsi Bali,2024,52. Belanja Barang dan Jasa,Realisasi,749528872001.73
Provinsi Bali,Provinsi Bali,2024,52. Belanja Barang dan Jasa,Anggaran,1260916551398.0
Provinsi Bali,Provinsi Bali,2024,52. Belanja Barang dan Jasa,Realisasi,749528872001.73
Provinsi Bali,Provinsi Bali,2024,52. Belanja Barang dan Jasa,Anggaran,1260916551398.0
Provinsi Bali,Provinsi Bali,2024,52. Belanja Barang dan Jasa,Realisasi,749528872001.73
Provinsi Bali,Provinsi Bali,2024,53. Belanja Modal,Anggaran,753187821368.0
Provinsi Bali,Provinsi Bali,2024,53. Belanja Modal,Realisasi,343566549716.33
Provinsi Bali,Provinsi Bali,2024,53. Belanja Modal,Anggaran,753187821368.0
Provinsi Bali,Provinsi Bali,2024,53. Belanja Modal,Realisasi,343566549716.33
Provinsi Bali,Provinsi Bali,2024,53. Belanja Modal,Anggaran,753187821368.0
Provinsi Bali,Provinsi Bali,2024,53. Belanja Modal,Realisasi,343566549716.33
Provinsi Bali,Provinsi Bali,2024,54. Belanja Lainnya,Anggaran,2690699204765.0
Provinsi Bali,Provinsi Bali,2024,54. Belanja Lainnya,Realisasi,2832772147153.0
Provinsi Bali,Provinsi Bali,2024,54. Belanja Lainnya,Anggaran,2690699204765.0
Provinsi Bali,Provinsi Bali,2024,54. Belanja Lainnya,Realisasi,2832772147153.0
Provinsi Bali,Provinsi Bali,2024,54. Belanja Lainnya,Anggaran,2690699204765.0
Provinsi Bali,Provinsi Bali,2024,54. Belanja Lainnya,Realisasi,2832772147153.0
Provinsi Bali,Provinsi Bali,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,811725080073.0
Provinsi Bali,Provinsi Bali,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,342650523381.56
Provinsi Bali,Provinsi Bali,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,811725080073.0
Provinsi Bali,Provinsi Bali,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,342650523381.56
Provinsi Bali,Provinsi Bali,2024,61. Penerimaan Pembiayaan Daerah,Anggaran,811725080073.0
Provinsi Bali,Provinsi Bali,2024,61. Penerimaan Pembiayaan Daerah,Realisasi,342650523381.56
Provinsi Bali,Provinsi Bali,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,248917013352.0
Provinsi Bali,Provinsi Bali,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,142021132218.0
Provinsi Bali,Provinsi Bali,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,248917013352.0
Provinsi Bali,Provinsi Bali,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,142021132218.0
Provinsi Bali,Provinsi Bali,2024,62. Pengeluaran Pembiayaan Daerah,Anggaran,248917013352.0
Provinsi Bali,Provinsi Bali,2024,62. Pengeluaran Pembiayaan Daerah,Realisasi,142021132218.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,41. PAD,Anggaran,1096473717900.0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,41. PAD,Realisasi,603865912855.49
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,41. PAD,Anggaran,1096473717900.0
