namapemda,provinsi,tahun,level2,level3,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH PBB Bagian Daerah untuk Provinsi,Realisasi,41425670000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Anggaran,71477084000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Realisasi,71477084000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Anggaran,1168691000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Realisasi,1168691000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Gas Bumi 30%,Anggaran,2035403000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Gas Bumi 30%,Realisasi,1323011950
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Gas Bumi Otonomi Khusus,Anggaran,36989513000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Gas Bumi Otonomi Khusus,Realisasi,24043183450
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Kehutanan - Dana Reboisasi,Anggaran,759604000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Kehutanan - Dana Reboisasi,Realisasi,759604000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Kehutanan - PSDH,Anggaran,159780000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Kehutanan - PSDH,Realisasi,103857000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Anggaran,1124424000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Realisasi,730875600
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minerba - Royalti,Anggaran,68095423000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minerba - Royalti,Realisasi,44262024950
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minyak Bumi 15%,Anggaran,1021300000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minyak Bumi 15%,Realisasi,663845000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minyak Bumi Otonomi Khusus,Anggaran,27830422000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Minyak Bumi Otonomi Khusus,Realisasi,18089774300
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Panas Bumi - Iuran Tetap,Anggaran,172152000
Provinsi Aceh,Provinsi Aceh,2024,Dana Bagi Hasil,DBH SDA Panas Bumi - Iuran Tetap,Realisasi,111898800
Provinsi Aceh,Provinsi Aceh,2024,Dana Insentif Daerah,Dana Insentif Daerah,Anggaran,17849482000
